#,"ID Detalle Factura","Número de factura","Campaña o aviso institucional","Nombre campaña o aviso institucional","Clasificación del servicio","Categoría del servicio","Subcategoría del servicio",Unidad,"Sujeto obligado contratante","Partida contratante","Sujeto obligado solicitante","Partida solicitante","Área administrativa solicitante","Descripción del servicio o producto adquirido",Cantidad,"Precio unitario con I.V.A incluido",Monto,Estatus
11,11,432,Campañas,"Institucional 2015","Servicios de difusión en medios de comunicación",Cine,Cine,"Cine minutos","Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",36101,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",,"Dirección General de Comunicación Social y Difusión","Nombre comercial del proveedor: Cinemex;
Cobertura: nacional;
Ámbito geográfico de cobertura: Nacional;
Fecha de inicio: ;
Fecha de término: ;
Grupo(s) de edad: 0;
Lugar de residencia: Nacional;
Nivel  socieconómico: 0;
Nivel educativo: 0;
Sexo: Ambos ;",1.00,1160000.00,1160000.00,Activo
12,12,502,Campañas,"Institucional 2015","Servicios de difusión en medios de comunicación","Medios impresos","Diarios Editados en los Estados","1/4 plana","Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",36101,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",,"Dirección General de Comunicación Social y Difusión","Grupo de Medios;
Cobertura: nacional;  
Ámbito geográfico de cobertura:
Nacional; Fecha de inicio: ;
Fecha de término: ;
Grupo(s) de edad: 0;
Lugar de residencia: Nacional;
Nivel  socieconómico: 0;
Nivel educativo: 0;
Sexo: Ambos;
Unidad del servicio o del producto adquirido: Pantallas en aerolíneas;",2.00,8026.32,16052.64,Activo
13,13,506,Campañas,"Institucional 2015","Servicios de difusión en medios de comunicación","Medios complementarios","Otros medios complementarios","Unidades de servicio","Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",36101,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",,"Dirección General de Comunicación Social y Difusión","Pantallas en aerolíneas
Lugar de residencia: Nacional
Sexo: Ambos",1.00,185600.00,185600.00,Activo
14,14,729,Campañas,"Institucional 2015","Servicios de difusión en medios de comunicación","Medios impresos",Revistas,Plana,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",36101,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",,"Dirección General de Comunicación Social y Difusión","Nombre comercial del proveedor: Revista Siempre;
Cobertura: nacional;  
Ámbito geográfico de cobertura: Nacional;
Fecha de inicio: 10/12/2015;
Fecha de término: 27/12/2015;
Grupo(s) de edad: 17-66;
Lugar de residencia: Nacional ;
Nivel  socieconómico: A/B 78%, C+ 22%;
Nivel educativo: Preparatoria- Profesional;
Sexo: Ambos;",2.00,96280.00,192560.00,Activo
15,15,734,Campañas,"Institucional 2015","Otros servicios asociados a la comunicación ",Streaming,Streaming,Minutos,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",36101,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",,"Dirección General de Comunicación Social y Difusión","Nombre comercial del proveedor: XSN Group;
Cobertura: Nacional;  
Ámbito geográfico de cobertura: Nacional;
Fecha de inicio: ;
Fecha de término: ;
Grupo(s) de edad: 0;
Lugar de residencia: 0;
Nivel  socieconómico: 0;
Nivel educativo: 0;
Sexo: 0;
Unidad del servicio o producto adquirido: Transmisión y codificación",1.00,7203.60,7203.60,Activo
16,16,770,Campañas,"Institucional 2015","Otros servicios asociados a la comunicación ",Streaming,Streaming,Minutos,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",36101,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",,"Dirección General de Comunicación Social y Difusión","Transmisión y codificación
Cobertura y ámbito geográfico: Nacional",4.00,7203.60,28814.40,Activo
17,17,773,Campañas,"Institucional 2015","Otros servicios asociados a la comunicación ",Streaming,Streaming,Minutos,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",36101,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",,"Dirección General de Comunicación Social y Difusión","Nombre comercial del proveedor: XSN Group;
Cobertura: Nacional;  
Ámbito geográfico de cobertura: Nacional;
Fecha de inicio: 14/05/2015;
Fecha de término: 14/05/2015;
Grupo(s) de edad: 0;
Lugar de residencia: 0;
Nivel  socieconómico: 0;
Nivel educativo: 0;
Sexo: 0;
Unidad del servicio o producto adquirido: Transmisión y codificación",1.00,7203.60,7203.60,Activo
18,18,777,Campañas,"Institucional 2015","Servicios de difusión en medios de comunicación","Medios complementarios","Otros medios complementarios","Otro formato","Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",36101,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",,"Dirección General de Comunicación Social y Difusión","Nombre comercial del proveedor: Alpha Post;
Cobertura: nacional;  
Ámbito geográfico de cobertura: Nacional;
Fecha de inicio: ;
Fecha de término: ;
Grupo(s) de edad: 0;
Lugar de residencia: Nacional ;
Nivel  socieconómico: 0;
Nivel educativo: 0;
Sexo: Ambos;
Unidad del producto o servicio adquirido: Pantallas en aerolíneas",1.00,750000.00,750000.00,Activo
19,19,780,Campañas,"Institucional 2015","Otros servicios asociados a la comunicación ",Streaming,Streaming,Minutos,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",36101,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",,"Dirección General de Comunicación Social y Difusión","Nombre comercial del proveedor: XSN Group;
Cobertura: Nacional;  
Ámbito geográfico de cobertura: Nacional;
Fecha de inicio: 14/01/2015;
Fecha de término: 27/01/2015;
Grupo(s) de edad: 0;
Lugar de residencia: 0;
Nivel  socieconómico: 0;
Nivel educativo: 0;
Sexo: 0;
Unidad del servicio o producto adquirido: Transmisión y codificación;",3.00,7203.60,21610.80,Activo
20,20,781,Campañas,"Institucional 2015","Otros servicios asociados a la comunicación ",Streaming,Streaming,Minutos,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",36101,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",,"Dirección General de Comunicación Social y Difusión","Nombre comercial del proveedor: XSN Group;
Cobertura: nacional;  
Ámbito geográfico de cobertura: Nacional;
Fecha de inicio: 05/02/2015;
Fecha de término: 25/02/2015;
Grupo(s) de edad: 0;
Lugar de residencia: 0;
Nivel  socieconómico: 0;
Nivel educativo: 0;
Sexo: 0;
Unidad del servicio o producto adquirido: Transmisión y codificación",4.00,7203.60,28814.40,Activo
21,21,782,Campañas,"Institucional 2015","Otros servicios asociados a la comunicación ",Streaming,Streaming,Minutos,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",36101,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",,"Dirección General de Comunicación Social y Difusión","Nombre comercial del proveedor: XSN Group;
Cobertura: nacional;  
Ámbito geográfico de cobertura:
Nacional; Fecha de inicio: 04/03/2015;
Fecha de término: 11/03/2015;
Grupo(s) de edad: 0;
Lugar de residencia: 0;
Nivel  socieconómico: 0;
Nivel educativo: 0;
Sexo: 0;
Unidad del servicio o producto adquirido: Transmisión y codificación",2.00,7203.60,14407.20,Activo
22,22,783,Campañas,"Institucional 2015","Otros servicios asociados a la comunicación ",Streaming,Streaming,Minutos,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",36101,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",,"Dirección General de Comunicación Social y Difusión","Nombre comercial del proveedor: XSN Group;
Cobertura: nacional;  
Ámbito geográfico de cobertura: Nacional;
Fecha de inicio: 19/03/2015;
Fecha de término: 26/03/2015;
Grupo(s) de edad: 0;
Lugar de residencia: 0;
Nivel  socieconómico: 0;
Nivel educativo: 0;
Sexo: 0;
Unidad del servicio o producto adquirido: Transmisión y codificación",3.00,7203.60,21610.80,Activo
23,23,784,Campañas,"Institucional 2015","Otros servicios asociados a la comunicación ",Streaming,Streaming,Minutos,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",36101,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",,"Dirección General de Comunicación Social y Difusión","Nombre comercial del proveedor: XSN Group;
Cobertura: nacional;  
Ámbito geográfico de cobertura: Nacional;
Fecha de inicio: 08/04/2015;
Fecha de término: 29/12/2015;
Grupo(s) de edad: 0;
Lugar de residencia: 0;
Nivel  socieconómico: 0;
Nivel educativo: 0;
Sexo: 0;
Unidad del servicio o producto adquirido: Transmisión y codificación",4.00,7203.60,28814.40,Activo
24,24,788,Campañas,"Institucional 2015","Otros servicios asociados a la comunicación ",Streaming,Streaming,Minutos,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",36101,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",,"Dirección General de Comunicación Social y Difusión","Nombre comercial del proveedor: XSN Group;
Cobertura: nacional;  
Ámbito geográfico de cobertura: Nacional;
Fecha de inicio: 12/03/2015;
Fecha de término: 29/05/2015;
Grupo(s) de edad: 0;
Lugar de residencia: 0;
Nivel  socieconómico: 0;
Nivel educativo: 0;
Sexo: 0;
Unidad del servicio o producto adquirido: Transmisión y codificación",4.00,7203.60,28814.40,Activo
25,25,789,Campañas,"Institucional 2015","Otros servicios asociados a la comunicación ",Streaming,Streaming,Minutos,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",36101,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",,"Dirección General de Comunicación Social y Difusión","Nombre comercial del proveedor: XSN Group;
Cobertura: nacional;  
Ámbito geográfico de cobertura: Nacional;
Fecha de inicio: 09/06/2015;
Fecha de término: 30/09/2015;
Grupo(s) de edad: 0;
Lugar de residencia: 0;
Nivel  socieconómico: 0;
Nivel educativo: 0;
Sexo: 0;
Unidad del servicio o producto adquirido: Transmisión y codificación",4.00,7203.60,28814.40,Activo
26,26,790,Campañas,"Institucional 2015","Otros servicios asociados a la comunicación ",Streaming,Streaming,Minutos,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",36101,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",,"Dirección General de Comunicación Social y Difusión","Nombre comercial del proveedor: XSN Group;
Cobertura: nacional;  
Ámbito geográfico de cobertura: Nacional;
Fecha de inicio: 26/10/2015;
Fecha de término: 29/10/2015;
Grupo(s) de edad: 0;
Lugar de residencia: 0;
Nivel  socieconómico: 0;
Nivel educativo: 0;
Sexo: 0;
Unidad del servicio o producto adquirido: Transmisión y codificación",2.00,7203.60,14407.20,Activo
27,27,791,Campañas,"Institucional 2015","Otros servicios asociados a la comunicación ",Streaming,Streaming,Minutos,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",36101,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",,"Dirección General de Comunicación Social y Difusión","Nombre comercial del proveedor: XSN Group;
Cobertura: nacional;  
Ámbito geográfico de cobertura: Nacional;
Fecha de inicio: 09/11/2015;
Fecha de término: 23/11/2015;
Grupo(s) de edad: 0;
Lugar de residencia: 0;
Nivel  socieconómico: 0;
Nivel educativo: 0;
Sexo: 0;
Unidad del servicio o producto adquirido: Transmisión y codificación;",3.00,7203.60,21610.80,Activo
28,28,792,Campañas,"Institucional 2015","Otros servicios asociados a la comunicación ",Streaming,Streaming,Minutos,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",36101,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",,"Dirección General de Comunicación Social y Difusión","Nombre comercial del proveedor: XSN Group;
Cobertura: Nacional;  
Ámbito geográfico de cobertura: Nacional;
Fecha de inicio: 24/11/2015;
Fecha de término: 25/11/2015;
Grupo(s) de edad: 0;
Lugar de residencia: 0;
Nivel  socieconómico: 0;
Nivel educativo: 0;
Sexo: 0;
Unidad del servicio o producto adquirido: Transmisión y codificación",1.00,7203.60,7203.60,Activo
29,29,795,Campañas,"Institucional 2015","Otros servicios asociados a la comunicación ",Streaming,Streaming,Minutos,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",36101,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",,"Dirección General de Comunicación Social y Difusión","Nombre comercial del proveedor: XSN Group;
Cobertura: nacional;
Ámbito geográfico de cobertura: Nacional;
Fecha de inicio: ;
Fecha de término: ;
Grupo(s) de edad: 0;
Lugar de residencia: 0;
Nivel  socieconómico: 0;
Nivel educativo: 0;
Sexo: 0;
Unidad del servicio o producto adquirido: Transmisión y codificación",2.00,7203.60,14407.20,Activo
30,30,796,Campañas,"Institucional 2015","Otros servicios asociados a la comunicación ",Streaming,Streaming,Minutos,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",36101,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",,"Dirección General de Comunicación Social y Difusión","Transmisión y codificación
Cobertura y ámbito geográfico: Nacional",4.00,7203.60,28814.40,Activo
31,31,797,Campañas,"Institucional 2015","Otros servicios asociados a la comunicación ",Streaming,Streaming,Minutos,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",36101,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",,"Dirección General de Comunicación Social y Difusión","Nombre comercial del proveedor: XSN Group;
Cobertura: nacional;  
Ámbito geográfico de cobertura: Nacional;
Fecha de inicio: 02/09/2015;
Fecha de término: 30/09/2015;
Grupo(s) de edad: 0;
Lugar de residencia: 0;
Nivel  socieconómico: 0;
Nivel educativo: 0;
Sexo: 0;
Unidad del servicio o producto adquirido: Transmisión y codificación",5.00,7203.60,36018.00,Activo
32,32,798,Campañas,"Institucional 2015","Otros servicios asociados a la comunicación ",Streaming,Streaming,Minutos,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",36101,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",,"Dirección General de Comunicación Social y Difusión","Nombre comercial del proveedor: XSN Group;
Cobertura: nacional;  
Ámbito geográfico de cobertura: Nacional;
Fecha de inicio: 07/10/2015;
Fecha de término: 27/10/2015;
Grupo(s) de edad: 0;
Lugar de residencia: 0;
Nivel  socieconómico: 0;
Nivel educativo: 0;
Sexo: 0;
Unidad del servicio o producto adquirido: Transmisión y codificación;",4.00,7203.60,28814.40,Activo
33,33,799,Campañas,"Institucional 2015","Otros servicios asociados a la comunicación ",Streaming,Streaming,Minutos,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",36101,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",,"Dirección General de Comunicación Social y Difusión","Nombre comercial del proveedor: XSN Group;
Cobertura: nacional;  
Ámbito geográfico de cobertura: Nacional;
Fecha de inicio: 01/07/2015;
Fecha de término: 15/06/2015;
Grupo(s) de edad: 0;
Lugar de residencia: 0;
Nivel  socieconómico: 0;
Nivel educativo: 0;
Sexo: 0;
Unidad del servicio o producto adquirido: Transmisión y codificación;",3.00,7203.60,21610.80,Activo
34,34,800,Campañas,"Institucional 2015","Otros servicios asociados a la comunicación ",Streaming,Streaming,Minutos,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",36101,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",,"Dirección General de Comunicación Social y Difusión","Transmisión y codificación
Cobertura y ámbito geográfico: Nacional",4.00,7203.60,28814.40,Activo
35,35,803,Campañas,"Institucional 2015","Otros servicios asociados a la comunicación ",Streaming,Streaming,Minutos,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",36101,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",,"Dirección General de Comunicación Social y Difusión","Nombre comercial del proveedor: XSN Group;
Cobertura: nacional;  
Ámbito geográfico de cobertura: Nacional;
Fecha de inicio: 18/05/2015;
Fecha de término: 18/05/2015;
Grupo(s) de edad: 0;
Lugar de residencia: 0;
Nivel  socieconómico: 0;
Nivel educativo: 0;
Sexo: 0;
Unidad del servicio o producto: Transmisión y codificación",1.00,7203.60,7203.60,Activo
36,36,804,Campañas,"Institucional 2015","Otros servicios asociados a la comunicación ",Streaming,Streaming,Minutos,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",36101,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",,"Dirección General de Comunicación Social y Difusión","Nombre comercial: XSN Group;
Cobertura: nacional;
Ámbito geográfico de cobertura: Nacional;
Fecha de inicio: 09/06/2015;
Fecha de término: 09/06/2015;
Grupo(s) de edad: 0;
Lugar de residencia: 0;
Nivel  socieconómico: 0;
Nivel educativo: 0;
Sexo: 0;
Unidad de servicio o producto adquirido: Transmisión y codificación;",1.00,7203.60,7203.60,Activo
37,37,"805 A",Campañas,"Institucional 2015","Otros servicios asociados a la comunicación ",Streaming,Streaming,Minutos,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",36101,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",,"Dirección General de Comunicación Social y Difusión","Nombre comercial del proveedor: XSN Group;
Cobertura: nacional;  
Ámbito geográfico de cobertura: Nacional;
Fecha de inicio: 16/07/2015;
Fecha de término: 16/07/2015;
Grupo(s) de edad: 0;
Lugar de residencia: 0;
Nivel  socieconómico: 0;
Nivel educativo: 0;
Sexo: 0;
Unidad del servicio o producto adquirido:  Transmisión y codificación;",1.00,7203.60,7203.60,Activo
38,38,807,Campañas,"Institucional 2015","Otros servicios asociados a la comunicación ",Streaming,Streaming,Minutos,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",36101,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",,"Dirección General de Comunicación Social y Difusión","Nombre comercial del proveedor: XSN Group;
Cobertura: nacional;  
Ámbito geográfico de cobertura: Nacional;
Fecha de inicio: 29/05/2015;
Fecha de término: 29/05/2015;
Grupo(s) de edad: 0;
Lugar de residencia: 0;
Nivel  socieconómico: 0;
Nivel educativo: 0;
Sexo: 0;
Unidad del servicio o producto adquirido: Transmisión y codificación;",1.00,7203.60,7203.60,Activo
39,39,808,Campañas,"Institucional 2015","Otros servicios asociados a la comunicación ",Streaming,Streaming,Minutos,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",36101,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",,"Dirección General de Comunicación Social y Difusión","Nombre comercial del proveedor: XSN Group;
Cobertura: nacional;
Ámbito geográfico de cobertura: Nacional;
Fecha de inicio: 10/06/2015;
Fecha de término: 24/06/2015;
Grupo(s) de edad: 0;
Lugar de residencia: 0;
Nivel  socieconómico: 0;
Nivel educativo: 0;
Sexo: 0;
Unidad del servicio o producto adquirido: Transmisión y codificación;",4.00,7203.60,28814.40,Activo
40,40,809,Campañas,"Institucional 2015","Otros servicios asociados a la comunicación ",Streaming,Streaming,Minutos,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",36101,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",,"Dirección General de Comunicación Social y Difusión","Nombre comercial del proveedor: XSN Group;
Cobertura: nacional;  
Ámbito geográfico de cobertura: Nacional;
Fecha de inicio: ;
Fecha de término: ;
Grupo(s) de edad: 0;
Lugar de residencia: 0;
Nivel  socieconómico: 0;
Nivel educativo: 0;
Sexo: 0;
Unidad del servicio o producto adquirido: Transmisión y codificación;",1.00,7203.60,7203.60,Activo
41,41,811,Campañas,"Institucional 2015","Otros servicios asociados a la comunicación ",Streaming,Streaming,Minutos,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",36101,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",,"Dirección General de Comunicación Social y Difusión","Nombre comercial del proveedor: XSN Group;
Cobertura: nacional;
Ámbito geográfico de cobertura: Nacional;
Fecha de inicio: ;
Fecha de término: ;
Grupo(s) de edad: 0;
Lugar de residencia: 0;
Nivel  socieconómico: 0;
Nivel educativo: 0;
Sexo: 0;
Unidad del servicio o producto adquirido: Transmisión y codificación",1.00,7203.60,7203.60,Activo
