"ID Respecto al contrato y los montos (Factura-Orden de compra-Contrato-Proveedor)","Fecha de Firma Del Contrato","Número O Referencia de Identificación Del Contrato","Objeto Del Contrato","Hipervínculo Al Contrato Firmado","Hipervínculo Al Convenio Modificatorio, en su Caso","Monto Total Del Contrato","Monto Pagado Al Periodo Publicado","Fecha de Inicio de Los Servicios Contratados","Fecha de Término de Los Servicios Contratados","Número de Factura","Hipervínculo a La Factura"
374-1-27-51,2017-10-13,OA-C033-17,"Servicios de producción de materiales de audio, video e impresos para la campaña institucional 2017",,,2271280.00,1135640.00,2017-10-13,2017-11-30,384,http://pruebasproyectos.com/tpo_prueba_09ene19/data/facturas/OA-C033-17.F.384.pdf
375-1-27-51,2017-10-13,OA-C033-17,"Servicios de producción de materiales de audio, video e impresos para la campaña institucional 2017",,,2271280.00,1135640.00,2017-10-13,2017-11-30,393,http://pruebasproyectos.com/tpo_prueba_09ene19/data/facturas/OA-C033-17.F.393.pdf
383-1-28-118,2017-12-01,OA-C038-17,"Servicio relacionado con la elaboración de un estudio de opinión cuantitativo mediante la técnica de encuesta cara a cara a nivel nacional ",,,694260.00,694260.00,2017-11-13,2017-12-22,136,http://pruebasproyectos.com/tpo_prueba_09ene19/data/facturas/OA-C038-17.F.136.pdf
4-1-2-51,2015-11-20,OA-C047-15,"Servicios de producción de materiales de audio, video e impresos para la Campaña Institucional 2015",,,4650000.00,4650000.00,2015-11-20,2015-11-30,99,
45-1-8-18,2015-12-21,OA-P147-15,"Servicio de Difusión en medios complementarios y digitales de la Campaña Institucional 2015, cine minutos en complejos de Cinepolis.",,,1160000.00,1160000.00,2015-12-04,2015-12-31,963,
5-1-9-50,2015-12-21,OA-P148-15,"Servicio de Difusión en medios complementarios y digitales de la Campaña Institucional 2015, difusión en espacios publicitarios en el Tren Suburbano. ",,,1530040.00,1530040.00,2015-12-04,2015-12-31,114,
51-1-6-13,2015-12-21,OA-P145-15,"Servicio de Difusión en medios complementarios y digitales de la Campaña Institucional 2015, difusión de spot de 30 segundos en la aerolinea Volaris.",,,315520.00,315520.00,2015-12-04,2015-12-31,1138,
65-1-10-65,2015-12-21,OA-P149-15,"Servicio de Difusión en medios complementarios y digitales de la Campaña Institucional 2015, difusión en espacios publicitarios en el Metrobus de la Ciudad de México.",,,2259100.00,2259100.00,2015-12-04,2015-12-31,2900,
88-1-11-49,2015-12-21,OA-P150-15,"Servicio de Difusión en medios digitales de la Campaña Institucional 2015, videos promocionados, tendencia promocionada, cuenta promocionada y tweet promocionado.",,,1940000.00,1940000.00,2015-12-04,2015-12-31,9071,
10-145-1-78,2015-12-11,"OS-36-15 INAI","Nombre comercial del proveedor: La silla rota
Promedio de alcance  ",,,174000.00,174000.00,2015-12-11,2015-12-31,323,
100-18-1-7,2015-01-27,OI-09-15,"Nombre comercial del proveedor: El Dictamen
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector ",,,6861.40,6861.40,2015-01-27,2015-12-31,15844,
101-48-1-31,2015-12-02,"OI-28-15 INAI","Nombre comercial del proveedor: Diario IndependienteTribuna
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector",,,71606.52,71606.52,2015-12-02,2015-12-31,16306,
102-87-1-44,2015-12-02,"OI-68-15 INAI","Nombre comercial del proveedor: El Presente Diario del Sureste
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector",,,42531.98,42531.98,2015-12-02,2015-12-31,17599,
103-71-1-34,2015-12-02,"OI-52-15 INAI","Nombre comercial del proveedor: El Diario Grande de Michoacán Provincia
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector",,,39887.20,39887.20,2015-12-02,2015-12-31,19315,
104-63-1-35,2015-12-02,"OI-44-15 INAI","Nombre comercial del proveedor: Información con Valor Vanguardia
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector",,,35951.42,35951.42,2015-12-02,2015-12-31,19374,
105-64-1-35,2015-12-02,"OI-45-15 INAI","Nombre comercial del proveedor: El Guardian
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector",,,32896.72,32896.72,2015-12-02,2015-12-31,19375,
106-47-1-11,2015-12-02,"OI-27-15 INAI","Nombre comercial del proveedor: Tribuna de los Cabos
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector ",,,45937.71,45937.71,2015-12-02,2015-12-31,19670,
107-30-1-79,2015-01-27,OI-15-15,"Nombre comercial del proveedor: Hidrocálido La Verdad por Delante
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector",,,13384.60,13384.60,2015-01-27,2015-12-31,21003,
108-59-1-28,2015-12-02,"OI-40-15 INAI","Nombre comercial del proveedor: Diario del Istmo
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector ",,,54783.10,54783.10,2015-12-02,2015-12-31,21140,
109-28-1-15,2015-01-27,OI-14-15,"Nombre comercial del proveedor: AM de Guanajuato
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector ",,,12938.64,12938.64,2015-01-27,2015-12-31,24625,
110-79-1-45,2015-12-02,"OI-60-15 INAI","Nombre comercial del proveedor: El Pulso de San Luis Potosí
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector",,,36546.68,36546.68,2015-12-02,2015-12-31,24817,
111-45-1-79,2015-12-02,"OI-25-15 INAI","Nombre comercial del proveedor: Hidrocálido La Verdad por Delante
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector ",,,72749.97,72749.97,2015-12-02,2015-12-31,24951,
112-94-1-22,2015-12-02,"OI-75-15 INAI","Nombre comercial del proveedor: Milenio Novedades
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector ",,,35873.14,35873.14,2015-12-02,2015-12-31,25499,
113-83-1-29,2015-12-02,"OI-64-15 INAI","Nombre comercial del proveedor: Diario del Yaqui
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector ",,,43747.20,43747.20,2015-12-02,2015-12-31,25640,
114-16-1-38,2015-01-27,OI-08-15,"Nombre comercial del proveedor: El Informador
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector",,,35687.40,35687.40,2015-01-27,2015-12-31,28115,
115-81-1-33,2015-12-02,"OI-62-15 INAI","Nombre comercial del proveedor: El Debate de los Mochis
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector ",,,29959.50,29959.50,2015-12-02,2015-12-31,28687,
116-54-1-70,2015-12-02,"OI-34-15 INAI","Nombre comercial del proveedor: La Voz de Michoacán
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector ",,,34006.70,34006.70,2015-12-02,2015-12-31,29674,
117-12-1-27,2015-01-27,OI-06-15,"Nombre comercial del proveedor: Diario de Yucatán
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector",,,16188.68,16188.68,2015-01-27,2015-12-31,32171,
119-62-1-23,2015-12-02,"OI-43-15 INAI","Nombre comercial del proveedor: Diario de Chihuahua
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector",,,48936.56,48936.56,2015-12-02,2015-12-31,37749,
12-70-1-71,2015-12-02,"OI-51-15 INAI","Nombre comercial del proveedor: La Ruta
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector",,,16052.64,16052.64,2015-12-02,2015-12-31,502,
120-52-1-15,2015-12-02,"OI-32-15 INAI","Nombre comercial del proveedor: AM de Guanajuato
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector",,,42564.90,42564.90,2015-12-02,2015-12-31,37859,
121-53-1-15,2015-12-02,"OI-33-15 INAI","Nombre comercial del proveedor: AM El Periódico de los Lagos
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector",,,16966.50,16966.50,2015-12-02,2015-12-31,37861,
122-67-1-15,2015-12-02,"OI-48-15 INAI","Nombre comercial del proveedor: Periódico Libre de Celaya
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector",,,16966.50,16966.50,2015-12-02,2015-12-31,37862,
123-68-1-15,2015-12-02,"OI-49-15 INAI","Nombre comercial del proveedor: AM de Irapuato
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector",,,17919.16,17919.16,2015-12-02,2015-12-31,37867,
124-78-1-63,2015-12-02,"OI-59-15 INAI","Nombre comercial del proveedor: Novedades de Quintana Roo
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector",,,47375.32,47375.32,2015-12-02,2015-12-31,39621,
125-56-1-40,2015-12-02,"OI-36-15 INAI","Nombre comercial del proveedor: El Mundo de Tehuacan
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector",,,28897.06,28897.06,2015-12-02,2015-12-31,39650,
126-90-1-40,2015-12-02,"OI-71-15 INAI","Nombre comercial del proveedor: El Mundo de Córdova
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector ",,,41573.38,41573.38,2015-12-02,2015-12-31,39651,
127-84-1-82,2015-12-02,"OI-65-15 INAI","Nombre comercial del proveedor: Expreso Más Personal
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector",,,49621.70,49621.70,2015-12-02,2015-12-31,41324,
128-51-1-25,2015-12-02,"OI-31-15 INAI","Nombre comercial del proveedor: Diario de Juárez
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector",,,78346.96,78346.96,2015-12-02,2015-12-31,50878,
129-103-1-53,2015-12-10,"OI-84-15 INAI","Nombre comercial del proveedor: Revista TV y Novelas
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector",,,206772.32,206772.32,2015-12-10,2015-12-31,54430,
130-91-1-72,2015-12-02,"OI-72-15 INAI","Nombre comercial del proveedor: La Opinión de Poza Rica
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector",,,31291.96,31291.96,2015-12-02,2015-12-31,65439,
131-80-1-32,2015-12-02,"OI-61-15 INAI","Nombre comercial del proveedor: El Debate de Culiacán
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector ",,,36807.50,36807.50,2015-12-02,2015-12-31,70181,
132-93-1-22,2015-12-02,"OI-74-15 INAI","Nombre comercial del proveedor: De Peso
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector",,,25877.42,25877.42,2015-12-02,2015-12-31,77713,
133-6-1-4,2015-01-23,OI-03-15,"Nombre comercial del proveedor: Milenio Diario
 
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector",,,29232.00,29232.00,2015-01-23,2015-12-31,127563,
134-13-1-4,2015-06-18,"OI-06-15 INAI","Nombre comercial del proveedor: Milenio Diario
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector",,,93426.40,93426.40,2015-06-18,2015-12-31,129712,
135-7-1-4,2015-05-22,"OI-03-15 INAI","Nombre comercial del proveedor: Milenio Diario
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector ",,,23356.60,23356.60,2015-05-22,2015-12-31,129743,
136-27-1-4,2015-08-21,"OI-13-15 INAI","Nombre comercial del proveedor: Milenio Diario
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector",,,56055.84,56055.84,2015-08-21,2015-12-31,130792,
137-35-1-4,2015-10-01,"OI-17-15 INAI","Nombre comercial del proveedor: Milenio Diario
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector ",,,56055.84,56055.84,2015-10-01,2015-12-31,131459,
138-95-1-4,2015-12-03,"OI-76-15 INAI","Nombre comercial del proveedor: Milenio Diario
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector",,,56055.84,56055.84,2015-12-03,2015-12-31,132778,
139-42-1-4,2015-11-13,"OI-22-15 INAI","Nombre comercial del proveedor: Milenio Diario
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector",,,56055.84,56055.84,2015-11-13,2015-12-31,132802,
14-104-1-55,2015-12-10,"OI-85-15 INAI","Nombre comercial del proveedor: Revista Siempre
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector ",,,192560.00,192560.00,2015-12-10,2015-12-31,729,
140-110-1-4,2015-12-11,"OI-91-15 INAI","Nombre comercial del proveedor: Milenio Diario
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector ",,,280279.20,280279.20,2015-12-11,2015-12-31,132807,
141-2-1-1,2015-01-06,OI-01-15,"Nombre comercial del proveedor: El Universal
 
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector ",,,19662.00,19662.00,2015-01-06,2015-12-31,143410,
142-38-1-1,2015-04-29,OI-19-15,"Nombre comercial del proveedor: El Universal
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector",,,40437.60,40437.60,2015-04-29,2015-12-31,149792,
143-76-1-37,2015-12-02,"OI-57-15 INAI","Nombre comercial del proveedor:  El Imparcial del Istmo
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector",,,18738.82,18738.82,2015-12-02,2015-12-31,151511,
144-55-1-37,2015-12-02,"OI-35-15 INAI","Nombre comercial del proveedor: El Imparcial, El Mejor Diario de Oaxaca
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector",,,42227.82,42227.82,2015-12-02,2015-12-31,151512,
145-9-1-1,2015-05-25,"OI-04-15 INAI","Nombre comercial del proveedor: El Universal
 
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector",,,30804.96,30804.96,2015-05-25,2015-12-31,152703,
146-17-1-1,2015-06-19,"OI-08-15 INAI","Nombre comercial del proveedor: El Universal
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector ",,,107817.36,107817.36,2015-06-19,2015-12-31,153657,
147-102-1-56,2015-12-10,"OI-83-15 INAI","Nombre comercial del proveedor: Revista Proceso
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector",,,141984.00,141984.00,2015-12-10,2015-12-31,155392,
148-23-1-1,2015-06-19,"OI-11-15 INAI","Nombre comercial del proveedor: El Universal
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector",,,53908.68,53908.68,2015-06-19,2015-12-31,157856,
149-31-1-1,2015-09-30,"OI-15-15 INAI","Nombre comercial del proveedor: El Universal
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector ",,,53908.68,53908.68,2015-09-30,2015-12-31,159818,
15-143-1-47,2015-12-02,"OS-34-15 INAI","Nombre comercial del proveedor: XSN Group 
Disponibilidad del Servicio",,,7203.60,7203.60,2015-12-02,2015-12-31,734,
150-39-1-1,2015-11-09,"OI-19-15 INAI","Nombre comercial del proveedor: El Universal
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector",,,39324.00,39324.00,2015-11-09,2015-12-31,162329,
151-99-1-1,2015-12-09,"OI-80-15 INAI","Nombre comercial del proveedor: El Universal
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector ",,,43117.20,43117.20,2015-12-09,2015-12-31,164417,
152-40-1-1,2015-11-12,"OI-20-15 INAI","Nombre comercial del proveedor: El Universal
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector",,,74858.28,74858.28,2015-11-12,2015-12-31,164418,
153-98-1-1,2015-12-03,"OI-79-15 INAI","Nombre comercial del proveedor: El Universal
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector",,,43117.20,43117.20,2015-12-03,2015-12-31,164419,
154-113-1-1,2015-12-11,"OI-94-15 INAI","Nombre comercial del proveedor: El Universal
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector ",,,310616.68,310616.68,2015-12-11,2015-12-31,164709,
155-147-1-1,2015-12-11,"OS-38-15 INAI","Nombre comercial del proveedor: http://www.eluniversal.com.mx
Promedio de alcance  ",,,284200.00,284200.00,2015-12-11,2015-12-31,164755,
156-133-1-1,2015-11-14,"OS-15-15 INAI","Nombre comercial del proveedor: http://www.eluniversal.com.mx
Promedio de alcance",,,66502.80,66502.80,2015-11-14,2015-12-31,165444,
157-14-1-41,2015-01-27,OI-07-15,"Nombre comercial del proveedor: El Norte
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector ",,,38035.01,38035.01,2015-01-27,2015-12-31,192801,
158-34-1-41,2015-04-29,OI-17-15,"Nombre comercial del proveedor: Reforma
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector",,,34493.76,34493.76,2015-04-29,2015-12-31,201055,
159-11-1-41,2015-05-25,"OI-05-15 INAI","Nombre comercial del proveedor: Reforma
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector",,,36503.81,36503.81,2015-05-25,2015-12-31,204707,
16-117-1-47,2015-05-07,"OS-01-15 INAI","Nombre comercial del proveedor: XSN Group
Disponibilidad del Servicio",,,28814.40,28814.40,2015-05-07,2015-12-31,770,
160-21-1-41,2015-06-22,"OI-10-15 INAI","Nombre comercial del proveedor: Reforma
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector ",,,66785.38,66785.38,2015-06-22,2015-12-31,210699,
161-37-1-41,2015-10-02,"OI-18-15 INAI","Nombre comercial del proveedor: Reforma
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector ",,,63881.66,63881.66,2015-10-02,2015-12-31,220484,
162-96-1-41,2015-12-03,"OI-77-15 INAI","Nombre comercial del proveedor: Reforma
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector ",,,79530.53,79530.53,2015-12-03,2015-12-31,223119,
163-109-1-41,2015-12-11,"OI-90-15 INAI","Nombre comercial del proveedor: Reforma
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector",,,227984.08,227984.08,2015-12-11,2015-12-31,223403,
165-148-1-75,2015-12-11,"OS-39-15 INAI","Nombre comercial del proveedor: http://www.animalpolitico.com
Promedio de alcance  ",,,232000.00,232000.00,2015-12-11,2015-12-31,"B(Validar DGCSD)",
166-156-1-19,2015-11-30,"Gasto directo - CNK","CNK; Cobertura: NA;  Ámbito geográfico de cobertura: NA; Fecha de inicio: ; Fecha de término: ; Grupo(s) de edad: 0; Lugar de residencia: 0; Nivel  socieconómico: 0; Nivel educativo: 0; Sexo: 0;",,,34800.00,34800.00,2015-11-30,2015-12-31,1567,
167-155-1-69,2015-11-30,"Gasto directo - Grupo Libélula","Nombre comercial del proveedor: CNK; Cobertura: NA;  Ámbito geográfico de cobertura: NA; Fecha de inicio: ; Fecha de término: ; Grupo(s) de edad: 0; Lugar de residencia: 0; Nivel  socieconómico: 0; Nivel educativo: 0; Sexo: 0;",,,26192.80,26192.80,2015-11-30,2015-12-31,"A(validar DGCSD)",
168-107-1-61,2015-12-10,"OI-88-15 INAI","Nombre comercial del proveedor: Revista Vértigo
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector ",,,68715.96,68715.96,2015-12-10,2015-12-31,2046,
17-123-1-47,2015-05-14,"OS-04-15 INAI","Nombre comercial del proveedor: XSN Group
Disponibilidad del Servicio",,,7203.60,7203.60,2015-05-14,2015-12-31,773,
171-157-1-36,2016-11-25,OI-47-16,"Art. 17 del Presupuesto de Egresos de la Federación para el Ejercicio Fiscal 2016",,,87000.00,87000.00,2016-11-25,2015-12-31,60614,
172-158-1-56,2016-11-25,OI-48-16,"Promedio de circulación, ámbito geográfico de cobertura y perfil del lector",,,70992.00,70992.00,2016-11-25,2015-12-31,175367,
173-159-1-60,2016-11-25,OI-49-16,"Promedio de circulación, ámbito geográfico de cobertura y perfil del lector",,,48720.00,48720.00,2016-11-25,2015-12-31,6821,
174-160-1-1,2016-11-30,OI-50-16,"Promedio de circulación, ámbito geográfico de cobertura y perfil del lector",,,138622.32,138622.32,2016-11-30,2015-12-31,184237,
175-161-1-41,2016-11-30,OI-51-16,"Promedio de alcance",,,69455.23,69455.23,2016-11-30,2015-12-31,254676,
176-162-1-2,2016-11-30,OI-52-16,"Promedio de circulación, ámbito geográfico de cobertura y perfil del lector",,,98816.34,98816.34,2016-11-30,2015-12-31,13397,
177-163-1-4,2016-11-30,OI-53-16,"Promedio de circulación, ámbito geográfico de cobertura y perfil del lector",,,112111.68,112111.68,2016-11-30,2015-12-31,138788,
178-164-1-83,2016-11-30,OI-54-16,"Promedio de circulación, ámbito geográfico de cobertura y perfil del lector",,,36580.72,36580.72,2016-11-30,2015-12-31,36103,
179-165-1-84,2016-11-30,OI-55-16,"Promedio de circulación, ámbito geográfico de cobertura y perfil del lector",,,75632.00,75632.00,2016-11-30,2015-12-31,33516,
180-166-1-5,2016-11-30,OI-56-16,"Promedio de circulación, ámbito geográfico de cobertura y perfil del lector",,,107281.44,107281.44,2016-11-30,2015-12-31,10583,
181-167-1-85,2016-11-30,OI-57-16,"Promedio de circulación, ámbito geográfico de cobertura y perfil del lector",,,52252.20,52252.20,2016-11-30,2015-12-31,184,
182-168-1-79,2016-11-30,OI-58-16,"Promedio de circulación, ámbito geográfico de cobertura y perfil del lector",,,32637.52,32637.52,2016-11-30,2015-12-31,29516,
183-169-1-36,2016-11-30,OI-59-16," 
Promedio de circulación, ámbito geográfico de cobertura y perfil del lector 
 ",,,22989.75,22989.75,2016-11-30,2015-12-31,37712,
184-170-1-36,2016-11-30,OI-60-16,"Promedio de circulación, ámbito geográfico de cobertura y perfil del lector",,,29079.75,29079.75,2016-11-30,2015-12-31,12769,
185-171-1-31,2016-11-30,OI-61-16,"Promedio de circulación, ámbito geográfico de cobertura y perfil del lector",,,21540.33,21540.33,2016-11-30,2015-12-31,32038,
186-172-1-30,2016-11-30,OI-62-16,"Promedio de circulación, ámbito geográfico de cobertura y perfil del lector",,,14932.88,14932.88,2016-11-30,2015-12-31,6732,
187-173-1-23,2016-11-30,OI-63-16,"Promedio de circulación, ámbito geográfico de cobertura y perfil del lector",,,23250.40,23250.40,2016-11-30,2015-12-31,44047,
188-174-1-25,2016-11-30,OI-64-16,"Promedio de circulación, ámbito geográfico de cobertura y perfil del lector",,,36829.77,36829.77,2016-11-30,2015-12-31,64381,
189-176-1-35,2016-11-30,OI-65-16,"Promedio de circulación, ámbito geográfico de cobertura y perfil del lector",,,27331.92,27331.92,2016-11-30,2015-12-31,28463,
19-116-1-47,2015-01-14,"OS-01-15 IFAI","Nombre comercial del proveedor: XSN Group
Disponibilidad del Servicio",,,21610.80,21610.80,2015-01-14,2015-12-31,780,
190-177-1-24,2016-11-30,OI-66-16,"Promedio de circulación, ámbito geográfico de cobertura y perfil del lector",,,32301.36,32301.36,2016-11-30,2015-12-31,3912,
191-178-1-48,2016-11-30,OI-67-16,"Promedio de circulación, ámbito geográfico de cobertura y perfil del lector",,,19948.68,19948.68,2016-11-30,2015-12-31,4413,
192-179-1-86,2016-11-30,OI-68-16,"Promedio de circulación, ámbito geográfico de cobertura y perfil del lector",,,20223.18,20223.18,2016-11-30,2015-12-31,19223,
