#,"ID (Orden de compra)",Proveedor,Procedimiento,Contrato,Ejercicio,Trimestre,"Sujeto obligado ordenante","Campaña o aviso institucional","Sujeto obligado solicitante","Número orden de compra",Justificación,"Fecha de orden","Archivo de la orden de compra en PDF (Vínculo al documento)",Estatus
16,"OI-08-15 INAI","El Universal Compañía Periodística Nacional, S.A. de C.V.","Adjudicación directa","Sin contrato",2015,abril-junio,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales","Sistema Nacional de Transparencia, Acceso a la Información Publica y Protección de Datos Personales","Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales","OI-08-15 INAI","Nombre comercial del proveedor: El Universal
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector ",2015-06-19,,Activo
17,OI-09-15,"Comercial Bermam, S. de R.L. de C.V.","Adjudicación directa","Sin contrato",2015,enero-marzo,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales","Día Internacional de Protección de Datos Personales 2015","Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",OI-09-15,"Nombre comercial del proveedor: El Dictamen
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector ",2015-01-27,,Activo
18,"OI-09-15 INAI","DEMOS, Desarrollo de Medios, S.A. de C.V.","Adjudicación directa","Sin contrato",2015,abril-junio,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales","Sistema Nacional de Transparencia, Acceso a la Información Publica y Protección de Datos Personales","Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales","OI-09-15 INAI","Nombre comercial del proveedor: La Jornada
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector ",2015-06-22,,Activo
19,OI-10-15,"Organización Editorial Mexicana, S.A. de C.V.","Adjudicación directa","Sin contrato",2015,enero-marzo,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales","Día Internacional de Protección de Datos Personales 2015","Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",OI-10-15,"Nombre comercial del proveedor: El Sol de Zacatecas
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector",2015-01-27,,Activo
20,"OI-10-15 INAI","Ediciones del Norte, S.A. de C.V.","Adjudicación directa","Sin contrato",2015,abril-junio,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales","Sistema Nacional de Transparencia, Acceso a la Información Publica y Protección de Datos Personales","Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales","OI-10-15 INAI","Nombre comercial del proveedor: Reforma
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector ",2015-06-22,,Activo
21,OI-11-15,"Organización Editorial Mexicana, S.A. de C.V.","Adjudicación directa","Sin contrato",2015,enero-marzo,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales","Día Internacional de Protección de Datos Personales 2015","Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",OI-11-15,"Nombre comercial del proveedor: El Sol de Morelia
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector",2015-01-27,,Activo
22,"OI-11-15 INAI","El Universal Compañía Periodística Nacional, S.A. de C.V.","Adjudicación directa","Sin contrato",2015,julio-septiembre,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales","Inauguración del Centro de Atención a la Sociedad y el Servicio TELINAI","Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales","OI-11-15 INAI","Nombre comercial del proveedor: El Universal
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector",2015-06-19,,Activo
23,OI-12-15,"Organización Editorial Mexicana, S.A. de C.V.","Adjudicación directa","Sin contrato",2015,enero-marzo,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales","Día Internacional de Protección de Datos Personales 2015","Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",OI-12-15,"Nombre comercial del proveedor: El Sol de Puebla
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector ",2015-01-27,,Activo
24,"OI-12-15 INAI","DEMOS, Desarrollo de Medios, S.A. de C.V.","Adjudicación directa","Sin contrato",2015,julio-septiembre,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales","Inauguración del Centro de Atención a la Sociedad y el Servicio TELINAI","Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales","OI-12-15 INAI","Nombre comercial del proveedor: La Jornada
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector ",2015-08-20,,Activo
25,OI-13-15,"Organización Editorial Mexicana, S.A. de C.V.","Adjudicación directa","Sin contrato",2015,enero-marzo,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales","Día Internacional de Protección de Datos Personales 2015","Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",OI-13-15,"Nombre comercial del proveedor: El Sol de Tijuana
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector",2015-01-27,,Activo
26,"OI-13-15 INAI","Milenio Diario, S.A. de C.V.","Adjudicación directa","Sin contrato",2015,julio-septiembre,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales","Inauguración del Centro de Atención a la Sociedad y el Servicio TELINAI","Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales","OI-13-15 INAI","Nombre comercial del proveedor: Milenio Diario
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector",2015-08-21,,Activo
27,OI-14-15,"Publicidad Efectiva de León, S.A. de C.V.","Adjudicación directa","Sin contrato",2015,enero-marzo,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales","Día Internacional de Protección de Datos Personales 2015","Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",OI-14-15,"Nombre comercial del proveedor: AM de Guanajuato
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector ",2015-01-27,,Activo
28,"OI-14-15 INAI","Revista el Abogado, S.A. de C.V.","Adjudicación directa","Sin contrato",2015,octubre-diciembre,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales","Semana Nacional de Transparencia 2015","Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales","OI-14-15 INAI","Nombre comercial del proveedor: Revista del Abogado
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector ",2015-09-22,,Activo
29,OI-15-15,"Empresa Editorial de Aguascalientes, S.A. de C.V.","Adjudicación directa","Sin contrato",2015,enero-marzo,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales","Día Internacional de Protección de Datos Personales 2015","Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",OI-15-15,"Nombre comercial del proveedor: Hidrocálido La Verdad por Delante
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector",2015-01-27,,Activo
30,"OI-15-15 INAI","El Universal Compañía Periodística Nacional, S.A. de C.V.","Adjudicación directa","Sin contrato",2015,octubre-diciembre,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales","Semana Nacional de Transparencia 2015","Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales","OI-15-15 INAI","Nombre comercial del proveedor: El Universal
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector ",2015-09-30,,Activo
31,OI-16-15,"Milenio Diario, S.A. de C.V.","Adjudicación directa","Sin contrato",2015,enero-marzo,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales","Día Internacional de Protección de Datos Personales 2015","Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",OI-16-15,"Nombre comercial del proveedor: Milenio Diario
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector ",2015-01-27,,Activo
32,"OI-16-15 INAI","DEMOS, Desarrollo de Medios, S.A. de C.V.","Adjudicación directa","Sin contrato",2015,octubre-diciembre,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales","Semana Nacional de Transparencia 2015","Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales","OI-16-15 INAI","Nombre comercial del proveedor: La Jornada
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector ",2015-09-30,,Activo
33,OI-17-15,"Ediciones del Norte, S.A. de C.V.","Adjudicación directa","Sin contrato",2015,abril-junio,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales","Fiesta de la Transparencia","Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",OI-17-15,"Nombre comercial del proveedor: Reforma
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector",2015-04-29,,Activo
34,"OI-17-15 INAI","Milenio Diario, S.A. de C.V.","Adjudicación directa","Sin contrato",2015,octubre-diciembre,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales","Semana Nacional de Transparencia 2015","Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales","OI-17-15 INAI","Nombre comercial del proveedor: Milenio Diario
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector ",2015-10-01,,Activo
35,OI-18-15,"Publicaciones Metropolitanas, S.A. de C.V.","Adjudicación directa","Sin contrato",2015,abril-junio,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales","Fiesta de la Transparencia","Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",OI-18-15,"Nombre comercial del proveedor: Publimetro
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector",2015-04-29,,Activo
36,"OI-18-15 INAI","Ediciones del Norte, S.A. de C.V.","Adjudicación directa","Sin contrato",2015,octubre-diciembre,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales","Semana Nacional de Transparencia 2015","Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales","OI-18-15 INAI","Nombre comercial del proveedor: Reforma
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector ",2015-10-02,,Activo
37,OI-19-15,"El Universal Compañía Periodística Nacional, S.A. de C.V.","Adjudicación directa","Sin contrato",2015,abril-junio,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales","Fiesta de la Transparencia","Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",OI-19-15,"Nombre comercial del proveedor: El Universal
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector",2015-04-29,,Activo
38,"OI-19-15 INAI","El Universal Compañía Periodística Nacional, S.A. de C.V.","Adjudicación directa","Sin contrato",2015,octubre-diciembre,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",Edictos,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales","OI-19-15 INAI","Nombre comercial del proveedor: El Universal
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector",2015-11-09,,Activo
39,"OI-20-15 INAI","El Universal Compañía Periodística Nacional, S.A. de C.V.","Adjudicación directa","Sin contrato",2015,octubre-diciembre,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales","3er. Seminario Internacional sobre Gestión Documental y Transparencia y nombramiento del Rector de la UNAM","Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales","OI-20-15 INAI","Nombre comercial del proveedor: El Universal
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector",2015-11-12,,Activo
40,"OI-21-15 INAI","DEMOS, Desarrollo de Medios, S.A. de C.V.","Adjudicación directa","Sin contrato",2015,octubre-diciembre,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales","3er. Seminario Internacional sobre Gestión Documental y Transparencia y nombramiento del Rector de la UNAM","Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales","OI-21-15 INAI","Nombre comercial del proveedor: La Jornada
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector ",2015-11-13,,Activo
41,"OI-22-15 INAI","Milenio Diario, S.A. de C.V.","Adjudicación directa","Sin contrato",2015,octubre-diciembre,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales","3er. Seminario Internacional sobre Gestión Documental y Transparencia y nombramiento del Rector de la UNAM","Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales","OI-22-15 INAI","Nombre comercial del proveedor: Milenio Diario
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector",2015-11-13,,Activo
42,"OI-23-15 INAI","Proyectos Alternativos de Comunicación, S.A. de C.V.","Adjudicación directa","Sin contrato",2015,octubre-diciembre,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales","Inauguración del Centro de Atención a la Sociedad y el Servicio TELINAI","Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales","OI-23-15 INAI","Nombre comercial del proveedor: Revista Zócalo
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector ",2015-11-13,,Activo
43,"OI-24-15 INAI","Talento e Inteligencia en Medios, S.A. de C.V.","Adjudicación directa","Sin contrato",2015,octubre-diciembre,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales","Institucional 2015","Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales","OI-24-15 INAI","Nombre comercial del proveedor: Revista Emeequis
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector",2015-12-02,,Activo
44,"OI-25-15 INAI","Empresa Editorial de Aguascalientes, S.A. de C.V.","Adjudicación directa","Sin contrato",2015,octubre-diciembre,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales","Institucional 2015","Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales","OI-25-15 INAI","Nombre comercial del proveedor: Hidrocálido La Verdad por Delante
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector ",2015-12-02,,Activo
45,"OI-26-15 INAI","Servicios Publicitarios Valcle, S.A. de C.V.","Adjudicación directa","Sin contrato",2015,octubre-diciembre,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales","Institucional 2015","Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales","OI-26-15 INAI","Nombre comercial del proveedor: El Mexicano Gran Diario Regional
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector ",2015-12-02,,Activo
46,"OI-27-15 INAI","Compañía Periodística Sudcaliforniana, S.A. de C.V.","Adjudicación directa","Sin contrato",2015,octubre-diciembre,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales","Institucional 2015","Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales","OI-27-15 INAI","Nombre comercial del proveedor: Tribuna de los Cabos
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector ",2015-12-02,,Activo
47,"OI-28-15 INAI","Organización Editorial del Sureste, S.A. de C.V.","Adjudicación directa","Sin contrato",2015,octubre-diciembre,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales","Institucional 2015","Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales","OI-28-15 INAI","Nombre comercial del proveedor: Diario IndependienteTribuna
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector",2015-12-02,,Activo
48,"OI-29-15 INAI","Editora Zamora Cruz, S.A. de C.V.","Adjudicación directa","Sin contrato",2015,octubre-diciembre,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales","Institucional 2015","Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales","OI-29-15 INAI","Nombre comercial del proveedor: El Orbe
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector ",2015-12-02,,Activo
49,"OI-30-15 INAI","El Diario de Chiapas, S.A. de C.V.","Adjudicación directa","Sin contrato",2015,octubre-diciembre,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales","Institucional 2015","Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales","OI-30-15 INAI","Nombre comercial del proveedor: Diario Expresión de Chiapas
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector ",2015-12-02,,Activo
50,"OI-31-15 INAI","Publicaciones e Impresos Paso del Norte, S. de R.L. de C.V.","Adjudicación directa","Sin contrato",2015,octubre-diciembre,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales","Institucional 2015","Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales","OI-31-15 INAI","Nombre comercial del proveedor: Diario de Juárez
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector",2015-12-02,,Activo
51,"OI-32-15 INAI","Publicidad Efectiva de León, S.A. de C.V.","Adjudicación directa","Sin contrato",2015,octubre-diciembre,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales","Institucional 2015","Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales","OI-32-15 INAI","Nombre comercial del proveedor: AM de Guanajuato
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector",2015-12-02,,Activo
52,"OI-33-15 INAI","Publicidad Efectiva de León, S.A. de C.V.","Adjudicación directa","Sin contrato",2015,octubre-diciembre,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales","Institucional 2015","Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales","OI-33-15 INAI","Nombre comercial del proveedor: AM El Periódico de los Lagos
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector",2015-12-02,,Activo
53,"OI-34-15 INAI","La Voz de Michoacán, S.A. de C.V.","Adjudicación directa","Sin contrato",2015,octubre-diciembre,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales","Institucional 2015","Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales","OI-34-15 INAI","Nombre comercial del proveedor: La Voz de Michoacán
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector ",2015-12-02,,Activo
54,"OI-35-15 INAI","Publicaciones Fernández Pichardo, S.A. de C.V.","Adjudicación directa","Sin contrato",2015,octubre-diciembre,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales","Institucional 2015","Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales","OI-35-15 INAI","Nombre comercial del proveedor: El Imparcial, El Mejor Diario de Oaxaca
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector",2015-12-02,,Activo
55,"OI-36-15 INAI","Sociedad Editora Arroniz, S.A. de C.V.","Adjudicación directa","Sin contrato",2015,octubre-diciembre,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales","Institucional 2015","Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales","OI-36-15 INAI","Nombre comercial del proveedor: El Mundo de Tehuacan
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector",2015-12-02,,Activo
56,"OI-37-15 INAI","Editora Regional de Noticias, S. de R.L. de C.V.","Adjudicación directa","Sin contrato",2015,octubre-diciembre,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales","Institucional 2015","Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales","OI-37-15 INAI","Nombre comercial del proveedor: Noticias Diario Binacional Sin Fronteras
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector ",2015-12-02,,Activo
57,"OI-38-15 INAI","Sociedad Cooperativa de Producción Editora el Mercurio, S. C. L.","Adjudicación directa","Sin contrato",2015,octubre-diciembre,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales","Institucional 2015","Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales","OI-38-15 INAI","Nombre comercial del proveedor: Mercurio de Tamaulipas
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector",2015-12-02,,Activo
58,"OI-40-15 INAI","Editora la Voz del Istmo, S.A. de C.V.","Adjudicación directa","Sin contrato",2015,octubre-diciembre,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales","Institucional 2015","Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales","OI-40-15 INAI","Nombre comercial del proveedor: Diario del Istmo
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector ",2015-12-02,,Activo
59,"OI-41-15 INAI","Servicios Publicitarios Valcle, S.A. de C.V.","Adjudicación directa","Sin contrato",2015,octubre-diciembre,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales","Institucional 2015","Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales","OI-41-15 INAI","Nombre comercial del proveedor: La Segunda
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector ",2015-12-02,,Activo
