"Sujeto Obligado",Ejercicio,"Fecha de Inicio Del periodo Que Se Informa","Fecha de Término Del periodo Que Se Informa","Funcion Del Sujeto Obligado (catálogo)","Área Administrativa Encargada de Solicitar El Servicio o Producto, en su caso","Clasificación Del(los) Servicios (catálogos)","Tipo de Servicio","Tipo de Medio (catálogo)","Descripción de Unidad","Tipo (catálogo)","Nombre de La Campaña O Aviso Institucional, en su Caso","Año de La Campaña","Tema de La Campaña O Aviso Institucional","Objetivo Institucional","Objetivo de Comunicación","Costo por unidad","Clave Única de Identificación de Campaña","Autoridad Que Proporcionó La Clave","Cobertura (catálogo)","Ámbito Geográfico de Cobertura","Fecha de Inicio de La Campaña O Aviso Institucional","Fecha de término de La Campaña O Aviso Institucional","Sexo (catálogo)","Lugar de Residencia","Nivel Educativo","Grupo de Edad","Nivel Socioeconómico","Respecto a Los Proveedores y su Contratación","Respecto a Los Recursos y El Presupuesto","Respecto Al Contrato y Los Montos","Área(s) Responsable(s) Que Genera(n), Posee(n), Publica(n) Y Actualizan La Información","Fecha de validación","Fecha de actualización",Nota
"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",2016,01-Octubre-16,31-Diciembre-16,"Contratante y solicitante","DIRECCIÓN GENERAL DE COMUNICACIÓN SOCIAL Y DIFUSIÓN","Servicios de difusión en medios de comunicación","Medios impresos","Diarios Editados en los Estados"," 
Servicio de difusión mediante la orden de inserción de la Campaña Institucional 2016
 ",Campañas,"CAMPAÑA INSTITUCIONAL 2016",2016,"Acceso a la información, transparencia y rendición de cuentas","Impulsar el desempeño organizacional y promover un modelo institucional de servicio público orientado a resultados con un enfoque de derechos humanos y perspectiva de género",,15785.28,ACT-PUB/19/08/2015.04,"PLENO DEL INAI",Nacional,Nacional,2016-11-28,2016-12-31,,,,,,2016-210-197-1-7,2016-210-197-1-7,2016-210-197-1-7,"DIRECCIÓN GENERAL DE COMUNICACIÓN SOCIAL Y DIFUSIÓN",2017-05-04,2017-05-04,
"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",2015,01-Octubre-15,31-Diciembre-15,"Contratante y solicitante","Dirección General de Comunicación Social y Difusión","Servicios de difusión en medios de comunicación","Medios impresos","Diarios Editados en los Estados","Meridiano de Nayarit
Cobertura: Estatal
Ámbito geográfico: Nayarit
Fecha de inicio: 02/12/2015
Fecha de término: 20/12/2015
Lugar de residencia: Nayarit
Nivel educativo: Secundaria - Posgrado
Sexo: Ambos",Campañas,"Institucional 2015",2015,"Acceso a la información, transparencia y rendición de cuentas","Promover el pleno ejercicio de los derechos de acceso a la información pública y de protección de datos personales","Reforzar el conocimiento del nombre del Instituto y sus nuevas atribuciones, promover la cultura de la Transparencia y el Acceso a la Información Pública, promover la cultura de la Protección de Datos Personales en posesión de particulares",55317.14,,,Nacional,México,2015-11-20,2015-12-31,Ambos,"Aguascalientes * Baja California * Baja California Sur * Campeche * Chiapas * Chihuahua * Coahuila de Zaragoza * Colima * Distrito Federal * Durango * Estado de México * Guanajuato * Guerrero * Hidalgo * Jalisco * Michoacán de Ocampo * Morelos * Nayarit * Nuevo León * Oaxaca * Puebla * Querétaro * Quintana Roo * San Luis Potosí * Sinaloa * Sonora * Tabasco * Tamaulipas * Tlaxcala * Veracruz de Ignacio de la Llave * Yucatán * Zacatecas","Doctorado * Maestria * Superior * Media Superior * Secundaria * Primaria","13 - 65","AB Alta * C+ Media Alta * C Media * D+ Media Baja * D Baja * E Marginada",2016-81-74-1-8,2016-81-74-1-8,2016-81-74-1-8,"Dirección General de Comunicación Social y Difusión",2016-12-05,2016-12-05,
"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",2016,01-Octubre-16,31-Diciembre-16,"Contratante y solicitante","DIRECCIÓN GENERAL DE COMUNICACIÓN SOCIAL Y DIFUSIÓN","Servicios de difusión en medios de comunicación","Medios impresos","Diarios Editados en los Estados"," 
Servicio de difusión mediante la orden de inserción de la Campaña Institucional 2016
 ",Campañas,"CAMPAÑA INSTITUCIONAL 2016",2016,"Acceso a la información, transparencia y rendición de cuentas","Impulsar el desempeño organizacional y promover un modelo institucional de servicio público orientado a resultados con un enfoque de derechos humanos y perspectiva de género",,26359.84,ACT-PUB/19/08/2015.04,"PLENO DEL INAI",Nacional,Nacional,2016-11-28,2016-12-31,,,,,,2016-198-185-1-8,2016-198-185-1-8,2016-198-185-1-8,"DIRECCIÓN GENERAL DE COMUNICACIÓN SOCIAL Y DIFUSIÓN",2017-05-04,2017-05-04,
"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",2015,01-Octubre-15,31-Diciembre-15,"Contratante y solicitante","Dirección General de Comunicación Social y Difusión","Servicios de difusión en medios de comunicación","Medios impresos","Diarios Editados en los Estados","La Razón
Cobertura: Estatal
Ámbito geográfico: Tamaulipas
Fecha de inicio: 02/12/2015
Fecha de término: 31/12/2015
Grupo de edad: 19-65
Lugar de residencia: Tamaulipas
Nivel socioeconómico: C+ 56%, C 29%, D+ 9%, D 6%
Nivel educativo: Primaria - Doctorado
Sexo: Ambos",Campañas,"Institucional 2015",2015,"Acceso a la información, transparencia y rendición de cuentas","Promover el pleno ejercicio de los derechos de acceso a la información pública y de protección de datos personales","Reforzar el conocimiento del nombre del Instituto y sus nuevas atribuciones, promover la cultura de la Transparencia y el Acceso a la Información Pública, promover la cultura de la Protección de Datos Personales en posesión de particulares",19801.96,,,Nacional,México,2015-11-20,2015-12-31,Ambos,"Aguascalientes * Baja California * Baja California Sur * Campeche * Chiapas * Chihuahua * Coahuila de Zaragoza * Colima * Distrito Federal * Durango * Estado de México * Guanajuato * Guerrero * Hidalgo * Jalisco * Michoacán de Ocampo * Morelos * Nayarit * Nuevo León * Oaxaca * Puebla * Querétaro * Quintana Roo * San Luis Potosí * Sinaloa * Sonora * Tabasco * Tamaulipas * Tlaxcala * Veracruz de Ignacio de la Llave * Yucatán * Zacatecas","Doctorado * Maestria * Superior * Media Superior * Secundaria * Primaria","13 - 65","AB Alta * C+ Media Alta * C Media * D+ Media Baja * D Baja * E Marginada",2016-73-89-1-9,2016-73-89-1-9,2016-73-89-1-9,"Dirección General de Comunicación Social y Difusión",2016-12-05,2016-12-05,"El proovedor bonifica difusión mediante banner estandar por el periodo del 19 al 31 de diciembre de 2015 en el sitio web www.expreso.press"
"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",2016,01-Octubre-16,31-Diciembre-16,"Contratante y solicitante","DIRECCIÓN GENERAL DE COMUNICACIÓN SOCIAL Y DIFUSIÓN","Servicios de difusión en medios de comunicación","Medios impresos","Diarios Editados en los Estados"," 
Servicio de difusión mediante la orden de inserción de la Campaña Institucional 2016
 ",Campañas,"CAMPAÑA INSTITUCIONAL 2016",2016,"Acceso a la información, transparencia y rendición de cuentas","Impulsar el desempeño organizacional y promover un modelo institucional de servicio público orientado a resultados con un enfoque de derechos humanos y perspectiva de género",,9865.80,ACT-PUB/19/08/2015.04,"PLENO DEL INAI",Nacional,Nacional,2016-11-28,2016-12-31,,,,,,2016-207-194-1-9,2016-207-194-1-9,2016-207-194-1-9,"DIRECCIÓN GENERAL DE COMUNICACIÓN SOCIAL Y DIFUSIÓN",2017-05-04,2017-05-04,
"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",2015,01-Octubre-15,31-Diciembre-15,"Contratante y solicitante","Dirección General de Comunicación Social y Difusión","Servicios de difusión en medios de comunicación","Medios impresos","Diarios Editados en los Estados","El Sol de Toluca
Cobertura y Ámbito geográfico: Nacional
Fecha de inicio: 11/12/2015
Fecha de término: 27/12/2015
Grupo de edad: 17-65
Lugar de Residencia: Nacional
Nivel socioeconómico: A/B 39%, C+ 48%, C 13% 
Nivel educativo: Primaria-Profesional 
Sexo: Ambos",Campañas,"Institucional 2015",2015,"Acceso a la información, transparencia y rendición de cuentas","Promover el pleno ejercicio de los derechos de acceso a la información pública y de protección de datos personales","Reforzar el conocimiento del nombre del Instituto y sus nuevas atribuciones, promover la cultura de la Transparencia y el Acceso a la Información Pública, promover la cultura de la Protección de Datos Personales en posesión de particulares",185290.02,,,Nacional,México,2015-11-20,2015-12-31,Ambos,"Aguascalientes * Baja California * Baja California Sur * Campeche * Chiapas * Chihuahua * Coahuila de Zaragoza * Colima * Distrito Federal * Durango * Estado de México * Guanajuato * Guerrero * Hidalgo * Jalisco * Michoacán de Ocampo * Morelos * Nayarit * Nuevo León * Oaxaca * Puebla * Querétaro * Quintana Roo * San Luis Potosí * Sinaloa * Sonora * Tabasco * Tamaulipas * Tlaxcala * Veracruz de Ignacio de la Llave * Yucatán * Zacatecas","Doctorado * Maestria * Superior * Media Superior * Secundaria * Primaria","13 - 65","AB Alta * C+ Media Alta * C Media * D+ Media Baja * D Baja * E Marginada",2016-56-114-1-10,2016-56-114-1-10,2016-56-114-1-10,"Dirección General de Comunicación Social y Difusión",2016-12-05,2016-12-05,"La inserción se integra de tres planas"
"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",2016,01-Octubre-16,31-Diciembre-16,"Contratante y solicitante","DIRECCIÓN GENERAL DE COMUNICACIÓN SOCIAL Y DIFUSIÓN","Servicios de difusión en medios de comunicación","Medios impresos","Diarios Editados en los Estados"," 
Servicio de difusión mediante la orden de inserción de la Campaña Institucional 2016
 ",Campañas,"CAMPAÑA INSTITUCIONAL 2016",2016,"Acceso a la información, transparencia y rendición de cuentas","Impulsar el desempeño organizacional y promover un modelo institucional de servicio público orientado a resultados con un enfoque de derechos humanos y perspectiva de género",,13941.88,ACT-PUB/19/08/2015.04,"PLENO DEL INAI",Nacional,Nacional,2016-11-28,2016-12-31,,,,,,2016-212-199-1-10,2016-212-199-1-10,2016-212-199-1-10,"DIRECCIÓN GENERAL DE COMUNICACIÓN SOCIAL Y DIFUSIÓN",2017-05-04,2017-05-04,
"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",2015,01-Octubre-15,31-Diciembre-15,"Contratante y solicitante","Dirección General de Comunicación Social y Difusión","Servicios de difusión en medios de comunicación","Medios impresos","Diarios Editados en los Estados","Tribuna de los Cabos
Cobertura: Estatal
Ámbito geográfico: Baja California Sur
Fecha de inicio: 02/12/2015
Fecha de término: 22/12/2015
Grupo de edad: 15-55
Lugar de residencia: Baja California Sur
Nivel educativo: Primaria-Posgrado
Sexo: Ambos",Campañas,"Institucional 2015",2015,"Acceso a la información, transparencia y rendición de cuentas","Promover el pleno ejercicio de los derechos de acceso a la información pública y de protección de datos personales","Reforzar el conocimiento del nombre del Instituto y sus nuevas atribuciones, promover la cultura de la Transparencia y el Acceso a la Información Pública, promover la cultura de la Protección de Datos Personales en posesión de particulares",45937.71,,,Nacional,México,2015-11-20,2015-12-31,Ambos,"Aguascalientes * Baja California * Baja California Sur * Campeche * Chiapas * Chihuahua * Coahuila de Zaragoza * Colima * Distrito Federal * Durango * Estado de México * Guanajuato * Guerrero * Hidalgo * Jalisco * Michoacán de Ocampo * Morelos * Nayarit * Nuevo León * Oaxaca * Puebla * Querétaro * Quintana Roo * San Luis Potosí * Sinaloa * Sonora * Tabasco * Tamaulipas * Tlaxcala * Veracruz de Ignacio de la Llave * Yucatán * Zacatecas","Doctorado * Maestria * Superior * Media Superior * Secundaria * Primaria","13 - 65","AB Alta * C+ Media Alta * C Media * D+ Media Baja * D Baja * E Marginada",2016-106-47-1-11,2016-106-47-1-11,2016-106-47-1-11,"Dirección General de Comunicación Social y Difusión",2016-12-05,2016-12-05,
"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",2016,01-Octubre-16,31-Diciembre-16,"Contratante y solicitante","DIRECCIÓN GENERAL DE COMUNICACIÓN SOCIAL Y DIFUSIÓN","Servicios de difusión en medios de comunicación",Internet,"Medios Digitales","concepto de servicio de difusión en medios complementarios de la campaña institucional 2016, orden de servicio 50/16",Campañas,"CAMPAÑA INSTITUCIONAL 2016",2016,"Acceso a la información, transparencia y rendición de cuentas","Impulsar el desempeño organizacional y promover un modelo institucional de servicio público orientado a resultados con un enfoque de derechos humanos y perspectiva de género",,9999.99,ACT-PUB/19/08/2015.04,"PLENO DEL INAI",Nacional,Nacional,2016-11-28,2016-12-31,,,,,,2016-236-223-1-11,2016-236-223-1-11,2016-236-223-1-11,"DIRECCIÓN GENERAL DE COMUNICACIÓN SOCIAL Y DIFUSIÓN",2017-05-04,2017-05-04,
"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",2015,01-Octubre-15,31-Diciembre-15,"Contratante y solicitante","Dirección General de Comunicación Social y Difusión","Servicios de difusión en medios de comunicación","Medios impresos","Diarios Editados en los Estados","ABC de Monterrey
Cobertura: Estatal
Ámbito geográfico de cobertura: Nuevo León
Fecha de inicio: 02/12/2015
Fecha de término: 23/12/2015
Grupo de edad: 18-45
Lugar de residencia: Nuevo León
Nivel socioeconómico: A/B 8%, C+ 29%, C 32%, D+ 6%
Nivel educativo: Primaria-Posgrado 
Sexo: Ambos",Campañas,"Institucional 2015",2015,"Acceso a la información, transparencia y rendición de cuentas","Promover el pleno ejercicio de los derechos de acceso a la información pública y de protección de datos personales","Reforzar el conocimiento del nombre del Instituto y sus nuevas atribuciones, promover la cultura de la Transparencia y el Acceso a la Información Pública, promover la cultura de la Protección de Datos Personales en posesión de particulares",78359.07,,,Nacional,México,2015-11-20,2015-12-31,Ambos,"Aguascalientes * Baja California * Baja California Sur * Campeche * Chiapas * Chihuahua * Coahuila de Zaragoza * Colima * Distrito Federal * Durango * Estado de México * Guanajuato * Guerrero * Hidalgo * Jalisco * Michoacán de Ocampo * Morelos * Nayarit * Nuevo León * Oaxaca * Puebla * Querétaro * Quintana Roo * San Luis Potosí * Sinaloa * Sonora * Tabasco * Tamaulipas * Tlaxcala * Veracruz de Ignacio de la Llave * Yucatán * Zacatecas","Doctorado * Maestria * Superior * Media Superior * Secundaria * Primaria","13 - 65","AB Alta * C+ Media Alta * C Media * D+ Media Baja * D Baja * E Marginada",2016-86-75-1-12,2016-86-75-1-12,2016-86-75-1-12,"Dirección General de Comunicación Social y Difusión",2016-12-05,2016-12-05,
"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",2016,01-Octubre-16,31-Diciembre-16,"Contratante y solicitante","DIRECCIÓN GENERAL DE COMUNICACIÓN SOCIAL Y DIFUSIÓN","Servicios de difusión en medios de comunicación",Internet,"Medios Digitales","servicio de difusión en medios complementarios de la campaña institucional 2016, orden de servicio 44/16.",Campañas,"CAMPAÑA INSTITUCIONAL 2016",2016,"Acceso a la información, transparencia y rendición de cuentas","Impulsar el desempeño organizacional y promover un modelo institucional de servicio público orientado a resultados con un enfoque de derechos humanos y perspectiva de género",,9999.99,ACT-PUB/19/08/2015.04,"PLENO DEL INAI",Nacional,Nacional,2016-11-28,2016-12-31,,,,,,2016-230-217-1-12,2016-230-217-1-12,2016-230-217-1-12,"DIRECCIÓN GENERAL DE COMUNICACIÓN SOCIAL Y DIFUSIÓN",2017-05-04,2017-05-04,
"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",2015,01-Octubre-15,31-Diciembre-15,"Contratante y solicitante","Dirección General de Comunicación Social y Difusión","Servicios de difusión en medios de comunicación","Medios complementarios","Otros medios complementarios","Pantallas en aerolíneas
Cobertura y Ámbito geográfico: NacionalLugar de Residencia: NacionalSexo: Ambos",Campañas,"Institucional 2015",2015,"Acceso a la información, transparencia y rendición de cuentas","Promover el pleno ejercicio de los derechos de acceso a la información pública y de protección de datos personales","Reforzar el conocimiento del nombre del Instituto y sus nuevas atribuciones, promover la cultura de la Transparencia y el Acceso a la Información Pública, promover la cultura de la Protección de Datos Personales en posesión de particulares",315520.00,,,Nacional,México,2015-11-20,2015-12-31,Ambos,"Aguascalientes * Baja California * Baja California Sur * Campeche * Chiapas * Chihuahua * Coahuila de Zaragoza * Colima * Distrito Federal * Durango * Estado de México * Guanajuato * Guerrero * Hidalgo * Jalisco * Michoacán de Ocampo * Morelos * Nayarit * Nuevo León * Oaxaca * Puebla * Querétaro * Quintana Roo * San Luis Potosí * Sinaloa * Sonora * Tabasco * Tamaulipas * Tlaxcala * Veracruz de Ignacio de la Llave * Yucatán * Zacatecas","Doctorado * Maestria * Superior * Media Superior * Secundaria * Primaria","13 - 65","AB Alta * C+ Media Alta * C Media * D+ Media Baja * D Baja * E Marginada",2016-51-1-6-13,2016-51-1-6-13,2016-51-1-6-13,"Dirección General de Comunicación Social y Difusión",2016-12-05,2016-12-05,"Se acredita con orden de servicio 27/15 "
"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",2015,01-Octubre-15,31-Diciembre-15,"Contratante y solicitante","Dirección General de Comunicación Social y Difusión","Servicios de difusión en medios de comunicación","Medios complementarios","Otros medios complementarios","Nombre comercial del proveedor: Alpha Post;
Cobertura: nacional;  
Ámbito geográfico de cobertura: Nacional;
Fecha de inicio: ;
Fecha de término: ;
Grupo(s) de edad: 0;
Lugar de residencia: Nacional ;
Nivel  socieconómico: 0;
Nivel educativo: 0;
Sexo: Ambos;
Unidad del producto o servicio adquirido: Pantallas en aerolíneas",Campañas,"Institucional 2015",2015,"Acceso a la información, transparencia y rendición de cuentas","Promover el pleno ejercicio de los derechos de acceso a la información pública y de protección de datos personales","Reforzar el conocimiento del nombre del Instituto y sus nuevas atribuciones, promover la cultura de la Transparencia y el Acceso a la Información Pública, promover la cultura de la Protección de Datos Personales en posesión de particulares",750000.00,,,Nacional,México,2015-11-20,2015-12-31,Ambos,"Aguascalientes * Baja California * Baja California Sur * Campeche * Chiapas * Chihuahua * Coahuila de Zaragoza * Colima * Distrito Federal * Durango * Estado de México * Guanajuato * Guerrero * Hidalgo * Jalisco * Michoacán de Ocampo * Morelos * Nayarit * Nuevo León * Oaxaca * Puebla * Querétaro * Quintana Roo * San Luis Potosí * Sinaloa * Sonora * Tabasco * Tamaulipas * Tlaxcala * Veracruz de Ignacio de la Llave * Yucatán * Zacatecas","Doctorado * Maestria * Superior * Media Superior * Secundaria * Primaria","13 - 65","AB Alta * C+ Media Alta * C Media * D+ Media Baja * D Baja * E Marginada",2016-18-1-4-14,2016-18-1-4-14,2016-18-1-4-14,"Dirección General de Comunicación Social y Difusión",2016-12-05,2016-12-05,"Se acredita con orden de servicio 25/15 "
"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",2016,01-Octubre-16,31-Diciembre-16,"Contratante y solicitante","DIRECCIÓN GENERAL DE COMUNICACIÓN SOCIAL Y DIFUSIÓN","Servicios de difusión en medios de comunicación","Medios complementarios","Otros medios complementarios"," 
servicio de difusión en medios complementarios de la campaña institucional 2016.
 ",Campañas,"CAMPAÑA INSTITUCIONAL 2016",2016,"Acceso a la información, transparencia y rendición de cuentas","Impulsar el desempeño organizacional y promover un modelo institucional de servicio público orientado a resultados con un enfoque de derechos humanos y perspectiva de género",,696000.00,ACT-PUB/19/08/2015.04,"PLENO DEL INAI",Nacional,Nacional,2016-11-28,2016-12-31,,,,,,2016-243-1-19-14,2016-243-1-19-14,2016-243-1-19-14,"DIRECCIÓN GENERAL DE COMUNICACIÓN SOCIAL Y DIFUSIÓN",2017-05-04,2017-05-04,
"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",2015,01-Enero-15,31-Marzo-15,"Contratante y solicitante","Dirección General de Comunicación Social y Difusión","Servicios de difusión en medios de comunicación","Medios impresos","Diarios Editados en los Estados","AM de Guanajuato ; Cobertura: estatal;  Ámbito geográfico de cobertura: Guanajuato ; Fecha de inicio: 27/01/2015; Fecha de término: 29/01/2015; Grupo(s) de edad: 19-65; Lugar de residencia: Guanajuato ; Nivel  socieconómico: A/B 20%, C+30%, C 40%, D+ 10%; Nivel educativo: Primaria-Maestría; Sexo: Ambos ;","Avisos Institucionales","Día Internacional de Protección de Datos Personales 2015",2015,"Protección de datos personales","Promover el pleno ejercicio de los derechos de acceso a la información pública y de protección de datos personales","Promover y difundir el Derecho de Protección de Datos Personales a nivel nacional",12938.64,,,Nacional,México,2015-01-23,2015-01-29,Ambos,"Aguascalientes * Baja California * Chihuahua * Guanajuato * Jalisco * México * Michoacán * Nacional * Nuevo León * Puebla * Sonora * Veracruz * Yucatán * Zacatecas","Doctorado * Maestria * Superior * Media Superior * Secundaria * Primaria","13 - 65","AB Alta * C+ Media Alta * C Media * D+ Media Baja * D Baja * E Marginada",2016-109-28-1-15,2016-109-28-1-15,2016-109-28-1-15,"Dirección General de Comunicación Social y Difusión",2016-12-05,2016-12-05,
"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",2015,01-Octubre-15,31-Diciembre-15,"Contratante y solicitante","Dirección General de Comunicación Social y Difusión","Servicios de difusión en medios de comunicación","Medios impresos","Diarios Editados en los Estados","AM de Guanajuato; Cobertura: estatal;  Ámbito geográfico de cobertura: Guanajuato ; Fecha de inicio: 02/12/2015; Fecha de término: 27/12/2015; Grupo(s) de edad: 19-65; Lugar de residencia: Guanajuato ; Nivel  socieconómico: A/B 20%, C+30%, C 40%, D+ 10%; Nivel educativo: Primaria-Maestría; Sexo: Ambos ;",Campañas,"Institucional 2015",2015,"Acceso a la información, transparencia y rendición de cuentas","Promover el pleno ejercicio de los derechos de acceso a la información pública y de protección de datos personales","Reforzar el conocimiento del nombre del Instituto y sus nuevas atribuciones, promover la cultura de la Transparencia y el Acceso a la Información Pública, promover la cultura de la Protección de Datos Personales en posesión de particulares",42564.90,,,Nacional,México,2015-11-20,2015-12-31,Ambos,"Aguascalientes * Baja California * Baja California Sur * Campeche * Chiapas * Chihuahua * Coahuila de Zaragoza * Colima * Distrito Federal * Durango * Estado de México * Guanajuato * Guerrero * Hidalgo * Jalisco * Michoacán de Ocampo * Morelos * Nayarit * Nuevo León * Oaxaca * Puebla * Querétaro * Quintana Roo * San Luis Potosí * Sinaloa * Sonora * Tabasco * Tamaulipas * Tlaxcala * Veracruz de Ignacio de la Llave * Yucatán * Zacatecas","Doctorado * Maestria * Superior * Media Superior * Secundaria * Primaria","13 - 65","AB Alta * C+ Media Alta * C Media * D+ Media Baja * D Baja * E Marginada",2016-120-52-1-15,2016-120-52-1-15,2016-120-52-1-15,"Dirección General de Comunicación Social y Difusión",2016-12-05,2016-12-05,
"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",2015,01-Octubre-15,31-Diciembre-15,"Contratante y solicitante","Dirección General de Comunicación Social y Difusión","Servicios de difusión en medios de comunicación","Medios impresos","Diarios Editados en los Estados","AM El Periódico de los Lagos; Cobertura: estatal;  Ámbito geográfico de cobertura: Jalisco; Fecha de inicio: 02/12/2015; Fecha de término: 19/12/2015; Grupo(s) de edad: 19-65; Lugar de residencia: Jalisco; Nivel  socieconómico: A/B 7%, C+ 10%, C 46%, D+ 37%; Nivel educativo: Primaria-Profesional ; Sexo: Ambos ;",Campañas,"Institucional 2015",2015,"Acceso a la información, transparencia y rendición de cuentas","Promover el pleno ejercicio de los derechos de acceso a la información pública y de protección de datos personales","Reforzar el conocimiento del nombre del Instituto y sus nuevas atribuciones, promover la cultura de la Transparencia y el Acceso a la Información Pública, promover la cultura de la Protección de Datos Personales en posesión de particulares",16966.50,,,Nacional,México,2015-11-20,2015-12-31,Ambos,"Aguascalientes * Baja California * Baja California Sur * Campeche * Chiapas * Chihuahua * Coahuila de Zaragoza * Colima * Distrito Federal * Durango * Estado de México * Guanajuato * Guerrero * Hidalgo * Jalisco * Michoacán de Ocampo * Morelos * Nayarit * Nuevo León * Oaxaca * Puebla * Querétaro * Quintana Roo * San Luis Potosí * Sinaloa * Sonora * Tabasco * Tamaulipas * Tlaxcala * Veracruz de Ignacio de la Llave * Yucatán * Zacatecas","Doctorado * Maestria * Superior * Media Superior * Secundaria * Primaria","13 - 65","AB Alta * C+ Media Alta * C Media * D+ Media Baja * D Baja * E Marginada",2016-121-53-1-15,2016-121-53-1-15,2016-121-53-1-15,"Dirección General de Comunicación Social y Difusión",2016-12-05,2016-12-05,
"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",2015,01-Octubre-15,31-Diciembre-15,"Contratante y solicitante","Dirección General de Comunicación Social y Difusión","Servicios de difusión en medios de comunicación","Medios impresos","Diarios Editados en los Estados","Periódico Libre de Celaya; Cobertura: estatal;  Ámbito geográfico de cobertura: Guanajuato ; Fecha de inicio: 02/12/2015; Fecha de término: 18/12/2015; Grupo(s) de edad: 19-65; Lugar de residencia: Guanajuato ; Nivel  socieconómico: A/B 30%, C+ 20%, C 32%, D+ 18%; Nivel educativo: Primaria-Maestría; Sexo: Ambos ;",Campañas,"Institucional 2015",2015,"Acceso a la información, transparencia y rendición de cuentas","Promover el pleno ejercicio de los derechos de acceso a la información pública y de protección de datos personales","Reforzar el conocimiento del nombre del Instituto y sus nuevas atribuciones, promover la cultura de la Transparencia y el Acceso a la Información Pública, promover la cultura de la Protección de Datos Personales en posesión de particulares",16966.50,,,Nacional,México,2015-11-20,2015-12-31,Ambos,"Aguascalientes * Baja California * Baja California Sur * Campeche * Chiapas * Chihuahua * Coahuila de Zaragoza * Colima * Distrito Federal * Durango * Estado de México * Guanajuato * Guerrero * Hidalgo * Jalisco * Michoacán de Ocampo * Morelos * Nayarit * Nuevo León * Oaxaca * Puebla * Querétaro * Quintana Roo * San Luis Potosí * Sinaloa * Sonora * Tabasco * Tamaulipas * Tlaxcala * Veracruz de Ignacio de la Llave * Yucatán * Zacatecas","Doctorado * Maestria * Superior * Media Superior * Secundaria * Primaria","13 - 65","AB Alta * C+ Media Alta * C Media * D+ Media Baja * D Baja * E Marginada",2016-122-67-1-15,2016-122-67-1-15,2016-122-67-1-15,"Dirección General de Comunicación Social y Difusión",2016-12-05,2016-12-05,
"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",2015,01-Octubre-15,31-Diciembre-15,"Contratante y solicitante","Dirección General de Comunicación Social y Difusión","Servicios de difusión en medios de comunicación","Medios impresos","Diarios Editados en los Estados","AM de Irapuato; Cobertura: estatal;  Ámbito geográfico de cobertura: Guanajuato ; Fecha de inicio: 02/12/2015; Fecha de término: 23/12/2015; Grupo(s) de edad: 19-65; Lugar de residencia: Guanajuato ; Nivel  socieconómico: A/B 35%, C+ 25%, C 32%, D+ 8%; Nivel educativo: Primaria-Maestría; Sexo: Ambos ;",Campañas,"Institucional 2015",2015,"Acceso a la información, transparencia y rendición de cuentas","Promover el pleno ejercicio de los derechos de acceso a la información pública y de protección de datos personales","Reforzar el conocimiento del nombre del Instituto y sus nuevas atribuciones, promover la cultura de la Transparencia y el Acceso a la Información Pública, promover la cultura de la Protección de Datos Personales en posesión de particulares",17919.16,,,Nacional,México,2015-11-20,2015-12-31,Ambos,"Aguascalientes * Baja California * Baja California Sur * Campeche * Chiapas * Chihuahua * Coahuila de Zaragoza * Colima * Distrito Federal * Durango * Estado de México * Guanajuato * Guerrero * Hidalgo * Jalisco * Michoacán de Ocampo * Morelos * Nayarit * Nuevo León * Oaxaca * Puebla * Querétaro * Quintana Roo * San Luis Potosí * Sinaloa * Sonora * Tabasco * Tamaulipas * Tlaxcala * Veracruz de Ignacio de la Llave * Yucatán * Zacatecas","Doctorado * Maestria * Superior * Media Superior * Secundaria * Primaria","13 - 65","AB Alta * C+ Media Alta * C Media * D+ Media Baja * D Baja * E Marginada",2016-123-68-1-15,2016-123-68-1-15,2016-123-68-1-15,"Dirección General de Comunicación Social y Difusión",2016-12-05,2016-12-05,
